check_id;path;start_line;start_col;end_line;end_col;message;category;cwe;owasp;severity
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-httponly;/project/repos/login-with/index.js;36;9;43;3;Default session middleware settings: `httpOnly` not set. It ensures the cookie is sent only over HTTP(S), not client JavaScript, helping to protect against cross-site scripting attacks.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-httponly;/project/repos/node_passport_login/app.js;34;3;38;5;Default session middleware settings: `httpOnly` not set. It ensures the cookie is sent only over HTTP(S), not client JavaScript, helping to protect against cross-site scripting attacks.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-httponly;/project/repos/pm2panel/pm2panel.js;25;9;25;74;Default session middleware settings: `httpOnly` not set. It ensures the cookie is sent only over HTTP(S), not client JavaScript, helping to protect against cross-site scripting attacks.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-httponly;/project/repos/stf/lib/units/api/index.js;134;11;137;5;Default session middleware settings: `httpOnly` not set. It ensures the cookie is sent only over HTTP(S), not client JavaScript, helping to protect against cross-site scripting attacks.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-httponly;/project/repos/stf/lib/units/app/index.js;72;11;75;5;Default session middleware settings: `httpOnly` not set. It ensures the cookie is sent only over HTTP(S), not client JavaScript, helping to protect against cross-site scripting attacks.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-httponly;/project/repos/stf/lib/units/auth/ldap.js;43;11;46;5;Default session middleware settings: `httpOnly` not set. It ensures the cookie is sent only over HTTP(S), not client JavaScript, helping to protect against cross-site scripting attacks.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-httponly;/project/repos/stf/lib/units/auth/mock.js;65;11;68;5;Default session middleware settings: `httpOnly` not set. It ensures the cookie is sent only over HTTP(S), not client JavaScript, helping to protect against cross-site scripting attacks.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-httponly;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;4;17;4;39;Default session middleware settings: `httpOnly` not set. It ensures the cookie is sent only over HTTP(S), not client JavaScript, helping to protect against cross-site scripting attacks.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `secure`, `path`, `domain`, or `expires` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
